label,mode,weight,kernel,strength,min_conf,gate_threshold,gate_low_scale,expanded_nodes,search_time_ms,end_to_end_ms,path_length_m,path_points,delta_vs_baseline
learned_spike_safe,learned_spike_safe,0.2,5,1.0,0.1,0.15,0.5,2348,74.52623500012123,521.9638750004378,49.14213562373098,181,-483
learned_spike_safe,learned_spike_safe,0.1,5,1.0,0.05,0.15,0.5,2348,77.38584800063109,524.8234880009477,49.14213562373098,181,-483
learned_spike_safe,learned_spike_safe,0.1,5,1.0,0.1,0.15,0.5,2348,78.98265800031368,526.4202980006303,49.14213562373098,181,-483
learned_spike,learned_spike,0.2,5,0.75,0.1,0.0,1.0,2348,82.20636900023237,529.644009000549,49.14213562373098,181,-483
learned_spike_safe,learned_spike_safe,0.15,5,0.75,0.05,0.2,0.5,2352,61.03826399976242,508.475904000079,49.14213562373098,181,-479
learned_spike_safe,learned_spike_safe,0.15,5,0.75,0.2,0.2,0.5,2352,62.87243800034048,510.3100780006571,49.14213562373098,181,-479
learned_spike_safe,learned_spike_safe,0.15,5,0.75,0.2,0.15,0.5,2352,62.94133800020063,510.37897800051724,49.14213562373098,181,-479
learned_spike_safe,learned_spike_safe,0.15,5,0.75,0.1,0.15,0.5,2352,69.25741600025503,516.6950560005716,49.14213562373098,181,-479
learned_spike_safe,learned_spike_safe,0.1,5,0.75,0.1,0.2,0.5,2352,71.02609800040227,518.4637380007189,49.14213562373098,181,-479
learned_spike_safe,learned_spike_safe,0.15,5,0.75,0.05,0.15,0.5,2352,72.3595170002227,519.7971570005393,49.14213562373098,181,-479
learned_spike_safe,learned_spike_safe,0.1,5,0.75,0.05,0.2,0.5,2352,72.43031300004077,519.8679530003574,49.14213562373098,181,-479
learned_spike_safe,learned_spike_safe,0.1,5,0.75,0.1,0.15,0.5,2352,72.89420899996912,520.3318490002857,49.14213562373098,181,-479
learned_spike_safe,learned_spike_safe,0.15,5,0.75,0.1,0.2,0.5,2352,73.07071099967288,520.5083509999895,49.14213562373098,181,-479
learned_spike_safe,learned_spike_safe,0.1,5,0.75,0.05,0.15,0.5,2352,78.12889100023312,525.5665310005497,49.14213562373098,181,-479
learned_spike_safe,learned_spike_safe,0.1,5,0.75,0.2,0.15,0.5,2352,79.63282499986235,527.070465000179,49.14213562373098,181,-479
learned_spike_safe,learned_spike_safe,0.1,5,0.75,0.2,0.2,0.5,2352,81.20691099975375,528.6445510000704,49.14213562373098,181,-479
learned_spike_safe,learned_spike_safe,0.15,3,0.5,0.05,0.15,0.5,2354,61.078865000126825,508.51650500044343,49.14213562373098,181,-477
learned_spike_safe,learned_spike_safe,0.15,3,0.5,0.05,0.2,0.5,2354,62.12242200035689,509.5600620006735,49.14213562373098,181,-477
